City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto natales,-51.7236,-72.4875,5.8,75,100,1.25,CL,1733730940
1,el calafate,-50.3408,-72.2768,7.69,56,100,2.81,AR,1733730941
2,blackmans bay,-43.0167,147.3167,17.63,57,100,1.34,AU,1733730943
3,laojunmiao,39.8333,97.7333,-7.53,62,100,2.22,CN,1733730944
4,acarau,-2.8856,-40.12,26.0,82,100,5.26,BR,1733730945
5,whitehorse,60.7161,-135.0538,-12.57,92,20,1.54,CA,1733730946
6,ilulissat,69.2167,-51.1,-3.99,46,48,9.77,GL,1733730948
7,waitangi,-43.9535,-176.5597,16.57,97,100,3.58,NZ,1733730949
8,kodiak,57.79,-152.4072,5.73,100,100,8.75,US,1733730950
9,port-aux-francais,-49.35,70.2167,2.54,73,87,10.38,TF,1733730951
10,sitka,57.0531,-135.33,3.94,87,100,0.0,US,1733730953
11,centerville,39.6284,-84.1594,10.03,94,100,7.2,US,1733730820
12,port mathurin,-19.6833,63.4167,25.0,80,96,6.29,MU,1733730955
13,sandnessjoen,66.0217,12.6316,4.12,75,75,7.72,NO,1733730956
14,bubaque,11.2833,-15.8333,25.83,55,100,4.68,GW,1733730957
15,powell,40.1578,-83.0752,9.52,96,100,1.34,US,1733730959
16,albany,42.6001,-73.9662,1.55,88,74,0.45,US,1733730960
17,beypore,11.1833,75.8167,30.58,62,40,1.03,IN,1733730961
18,sinabang,2.4803,96.3801,30.05,66,79,1.5,ID,1733730962
19,vilyuchinsk,52.9306,158.4028,-1.85,91,100,3.04,RU,1733730964
20,margaret river,-33.95,115.0667,21.39,52,0,7.96,AU,1733730965
21,port elizabeth,-33.918,25.5701,25.17,76,20,5.66,ZA,1733730966
22,kangaba,11.9333,-8.4167,20.32,29,20,2.0,ML,1733730967
23,gordonvale,-17.0936,145.7842,28.88,73,50,1.42,AU,1733730968
24,greymouth,-42.4667,171.2,11.86,85,13,2.1,NZ,1733730970
25,adamstown,-25.066,-130.1015,22.68,72,1,8.38,PN,1733730971
26,iqaluit,63.7506,-68.5145,-20.73,70,75,9.26,CA,1733730972
27,bethel,41.3712,-73.414,2.96,84,0,0.45,US,1733730973
28,kuusamo,65.9667,29.1833,-6.98,93,0,4.12,FI,1733730975
29,talpa de allende,20.3833,-104.8167,15.2,85,72,2.24,MX,1733730976
30,edinburgh of the seven seas,-37.0676,-12.3116,15.53,90,100,5.62,SH,1733730977
31,ushuaia,-54.8,-68.3,7.81,71,75,1.54,AR,1733730978
32,xinmin,41.9908,122.8253,-0.68,36,6,2.83,CN,1733730979
33,pangai,-19.8,-174.35,26.46,86,22,8.2,TO,1733730981
34,klyuchi,52.2667,79.1667,-17.3,94,91,2.16,RU,1733730982
35,nova sintra,14.8667,-24.7167,24.74,70,2,2.67,CV,1733730983
36,holualoa,19.6228,-155.9522,20.46,86,8,0.9,US,1733730984
37,al bardiyah,31.7561,25.0865,16.33,58,100,6.78,LY,1733730986
38,grytviken,-54.2811,-36.5092,0.73,75,19,4.42,GS,1733730987
39,sao joao da barra,-21.6403,-41.0511,23.02,96,87,3.6,BR,1733730988
40,turpan,42.9333,89.1667,2.78,52,100,2.71,CN,1733730989
41,pangody,65.85,74.4859,-12.8,90,99,7.71,RU,1733730990
42,iskateley,67.6803,53.1512,-5.42,95,100,6.78,RU,1733730992
43,colonia,50.9333,6.95,5.63,86,75,3.6,DE,1733730993
44,invercargill,-46.4,168.35,13.34,74,12,4.02,NZ,1733730994
45,west island,-12.1568,96.8225,25.99,94,75,9.26,CC,1733730995
46,souillac,-20.5167,57.5167,29.21,70,40,4.63,MU,1733730997
47,leava,-14.3,-178.1667,27.83,82,100,5.93,WF,1733730998
48,constantia,44.1833,28.65,11.5,89,100,10.1,RO,1733730999
49,east london,-33.0153,27.9116,22.52,94,100,1.54,ZA,1733731000
50,shahrak,34.1074,64.3052,3.02,7,9,1.62,AF,1733731002
51,juan griego,11.0817,-63.9655,24.67,88,78,4.0,VE,1733731003
52,ribeira grande,38.5167,-28.7,18.76,82,40,8.75,PT,1733731004
53,afaahiti,-17.75,-149.2833,25.24,83,70,9.26,PF,1733731005
54,kargasok,59.0556,80.8572,-11.39,80,100,6.14,RU,1733731006
55,san mariano,7.5,126.0,25.89,94,86,0.42,PH,1733731008
56,dongfeng,42.6403,125.5118,-6.29,81,8,1.29,CN,1733731010
57,yellowknife,62.456,-114.3525,-14.69,85,100,2.06,CA,1733730897
58,hamilton,39.1834,-84.5333,11.1,93,100,7.72,US,1733731013
59,talnakh,69.4865,88.3972,-12.4,96,100,5.07,RU,1733731014
60,hawaiian paradise park,19.5933,-154.9731,21.73,94,40,1.54,US,1733731015
61,vikhorevka,56.1201,101.1636,-15.56,88,99,4.74,RU,1733731016
62,nar'yan-mar,67.6713,53.087,-5.43,95,100,6.76,RU,1733731018
63,lorengau,-2.0226,147.2712,28.76,72,100,1.75,PG,1733731019
64,cabedelo,-6.9811,-34.8339,24.37,76,4,4.92,BR,1733731020
65,howrah,22.5892,88.3103,26.0,47,40,2.06,IN,1733731021
66,stanley,54.868,-1.6985,6.01,86,75,5.66,GB,1733731023
67,machali,-34.1833,-70.6667,11.34,52,0,1.16,CL,1733731024
68,copiapo,-27.3667,-70.3333,15.13,50,0,0.85,CL,1733731025
69,jamestown,42.097,-79.2353,2.8,99,0,3.09,US,1733731026
70,corner brook,48.9667,-57.9484,-1.65,95,100,5.39,CA,1733731027
71,shirvan,39.9509,48.8994,9.88,86,100,4.65,AZ,1733731029
72,lebu,-37.6167,-73.65,10.27,83,35,6.39,CL,1733731031
73,fale old settlement,-9.3852,-171.2468,28.45,71,100,4.69,TK,1733731032
74,novyy urengoy,66.0833,76.6333,-12.81,91,100,7.57,RU,1733731034
75,island harbour,50.724,-1.2758,7.79,68,97,4.02,GB,1733731035
76,kurchatov,51.6601,35.6521,1.59,85,100,4.29,RU,1733731036
77,bodo,67.28,14.405,4.02,81,75,12.86,NO,1733731037
78,praia,14.9215,-23.5087,23.3,78,20,4.63,CV,1733731039
79,huambo,-12.7761,15.7392,19.89,77,86,2.57,AO,1733731040
80,burang,30.25,81.1667,-9.65,59,100,4.74,CN,1733731041
81,labytnangi,66.6572,66.4183,-8.87,87,100,4.55,RU,1733730783
82,inirida,3.8653,-67.9239,23.51,90,79,0.43,CO,1733731043
83,kabalo,-6.05,26.9167,27.82,65,57,2.34,CD,1733731045
84,la passe,45.5549,-0.8967,7.51,77,100,7.64,FR,1733731046
85,tiksi,71.6872,128.8694,-27.22,99,81,2.88,RU,1733731047
86,kilinochchi,9.3961,80.3982,29.61,64,79,4.45,LK,1733731050
87,kirensk,57.7853,108.1119,-16.24,89,72,3.59,RU,1733731051
88,elhovo,42.1667,26.5667,13.42,96,95,2.35,BG,1733731052
89,zhenzhou,32.2692,119.1789,8.46,38,92,2.86,CN,1733731053
90,puerto ayora,-0.7393,-90.3518,22.53,96,23,1.34,EC,1733731055
91,freetown,8.484,-13.2299,25.45,67,100,1.93,SL,1733731056
92,alice springs,-23.7,133.8833,26.75,74,100,2.57,AU,1733731057
93,olonkinbyen,70.9221,-8.7187,-0.34,99,100,4.73,SJ,1733731058
94,dunedin,-45.8742,170.5036,14.33,69,0,2.68,NZ,1733731060
95,greenville,35.6127,-77.3663,10.64,60,0,2.57,US,1733731061
96,big rapids,43.6981,-85.4837,4.07,87,100,3.09,US,1733731062
97,slave lake,55.2834,-114.769,-2.01,86,100,5.66,CA,1733731063
98,campeche,19.0,-90.5,18.94,98,73,1.26,MX,1733731064
99,tura,25.5198,90.2201,21.48,61,100,2.04,IN,1733731066
100,bredasdorp,-34.5322,20.0403,25.33,43,33,1.51,ZA,1733731067
101,vorgashor,67.5833,63.95,-10.05,94,100,7.12,RU,1733731068
102,qaqortoq,60.7167,-46.0333,-6.17,88,98,1.12,GL,1733731069
103,anadyr,64.75,177.4833,-16.72,85,75,6.0,RU,1733731071
104,tual,-5.6667,132.75,27.79,80,100,4.02,ID,1733731072
105,mildura,-34.2,142.15,28.93,34,23,3.05,AU,1733731073
106,kavaratti,10.5669,72.642,27.44,78,100,5.1,IN,1733731074
107,uturoa,-16.7333,-151.4333,26.92,78,59,8.15,PF,1733731077
108,thompson,55.7435,-97.8558,-15.91,85,75,0.0,CA,1733731078
109,bilibino,68.0546,166.4372,-27.51,85,56,0.85,RU,1733731079
110,baoqing,46.3317,132.2111,-12.27,92,21,1.54,CN,1733731081
111,childress,34.4264,-100.204,4.14,75,0,3.6,US,1733731082
112,rawai,7.7797,98.3253,28.09,72,100,1.89,TH,1733731084
113,mirnyy,62.5353,113.9611,-33.39,100,52,1.79,RU,1733731086
114,chivhu,-19.0211,30.8922,28.63,34,6,3.07,ZW,1733731087
115,patterson,37.4716,-121.1297,8.39,93,3,0.87,US,1733731088
116,ust-nera,64.5667,143.2,-22.22,99,100,1.43,RU,1733731089
117,balboa,2.0396,-77.2168,15.62,97,84,0.01,CO,1733731091
118,ketchikan,55.3422,-131.6461,3.26,95,100,1.54,US,1733731092
119,cockburn town,21.4612,-71.1419,25.82,77,76,10.82,TC,1733731093
